Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-01-02,2014,1,2,Thursday,00,2014-00,183.98,184.07,182.48,182.92,119636900.0,160.93,0.0,160.93,160.93
2014-01-03,2014,1,3,Friday,00,2014-00,183.23,183.6,182.63,182.89,81390600.0,160.9,-0.0001642265465385817,160.91500000000002,160.91500000000002
2014-01-06,2014,1,6,Monday,01,2014-01,183.49,183.56,182.08,182.36,108028200.0,160.43,-0.0028979556031836218,160.75333333333336,160.75333333333336
2014-01-07,2014,1,7,Tuesday,01,2014-01,183.09,183.79,182.95,183.48,86144200.0,161.42,0.0061419327937857204,160.92000000000002,160.92000000000002
2014-01-08,2014,1,8,Wednesday,01,2014-01,183.45,183.83,182.89,183.52,96582300.0,161.45,0.00021817437955951036,161.026,161.026
2014-01-09,2014,1,9,Thursday,01,2014-01,184.11,184.13,182.8,183.64,90683400.0,161.56,0.0006538133156008819,161.115,161.115
2014-01-10,2014,1,10,Friday,01,2014-01,183.95,184.22,183.01,184.14,102026400.0,162.0,0.0027224421793894393,161.24142857142857,161.24142857142857
2014-01-13,2014,1,13,Monday,02,2014-02,183.67,184.18,181.34,181.69,149892000.0,159.84,-0.013304831188843624,161.06625,161.06625
2014-01-14,2014,1,14,Tuesday,02,2014-02,182.29,183.77,181.95,183.67,105016100.0,161.59,0.010897723075701249,161.12444444444444,161.12444444444444
2014-01-15,2014,1,15,Wednesday,02,2014-02,184.1,184.94,183.71,184.66,98525800.0,162.46,0.005389979838804848,161.25799999999998,161.25799999999998
2014-01-16,2014,1,16,Thursday,02,2014-02,184.28,184.66,183.83,184.42,72290600.0,162.25,-0.0012997420428135786,161.3481818181818,161.3481818181818
2014-01-17,2014,1,17,Friday,02,2014-02,184.1,184.45,183.32,183.64,107848700.0,161.56,-0.004229329937580517,161.3658333333333,161.3658333333333
2014-01-21,2014,1,21,Tuesday,03,2014-03,184.7,184.77,183.05,184.18,88621200.0,162.03,0.00294070979002492,161.41692307692307,161.41692307692307
2014-01-22,2014,1,22,Wednesday,03,2014-03,184.49,184.57,183.91,184.3,61270900.0,162.14,0.0006514703378530662,161.46857142857144,161.46857142857144
2014-01-23,2014,1,23,Thursday,03,2014-03,183.37,183.4,181.82,182.79,132496900.0,160.81,-0.008193319501817009,161.46,161.42466666666667
2014-01-24,2014,1,24,Friday,03,2014-03,181.6,181.66,178.83,178.89,208677100.0,157.38,-0.02133578874176001,161.20857142857145,161.171875
2014-01-27,2014,1,27,Monday,04,2014-04,179.06,179.52,177.12,178.01,180843100.0,156.61,-0.00491940319114037,160.9357142857143,160.9035294117647
2014-01-28,2014,1,28,Tuesday,04,2014-04,178.14,179.3,178.12,179.07,110463200.0,157.54,0.005954702558636837,160.65857142857143,160.71666666666667
2014-01-29,2014,1,29,Wednesday,04,2014-04,177.58,178.55,176.88,177.35,216597300.0,156.03,-0.009605177311449165,160.27142857142863,160.47000000000003
2014-01-30,2014,1,30,Thursday,04,2014-04,178.83,179.81,178.26,179.23,118938100.0,157.68,0.010600704294774221,159.99428571428575,160.3305
2014-01-31,2014,1,31,Friday,04,2014-04,177.01,179.29,176.92,178.18,194677900.0,156.76,-0.005858718581675637,159.62000000000003,160.16047619047617
2014-02-03,2014,2,3,Monday,05,2014-05,177.97,178.37,173.83,174.17,254837100.0,153.23,-0.022505146198568582,159.14785714285716,159.84545454545454
2014-02-04,2014,2,4,Tuesday,05,2014-05,174.95,175.84,174.11,175.39,165012400.0,154.3,0.007004438095945531,158.62714285714287,159.60434782608695
2014-02-05,2014,2,5,Wednesday,05,2014-05,174.78,175.56,173.71,175.17,164230500.0,154.11,-0.001254121607075498,158.0307142857143,159.37541666666667
2014-02-06,2014,2,6,Thursday,05,2014-05,175.58,177.48,175.22,177.48,132877600.0,156.14,0.013186891527613875,157.59428571428572,159.246
2014-02-07,2014,2,7,Friday,05,2014-05,178.31,179.87,177.73,179.68,170787200.0,158.07,0.012395975004585669,157.34500000000003,159.20076923076925
2014-02-10,2014,2,10,Monday,06,2014-06,179.7,180.07,179.21,180.01,92218800.0,158.37,0.0018363639838674395,157.08357142857145,159.17000000000002
2014-02-11,2014,2,11,Tuesday,06,2014-06,180.16,182.44,180.04,181.98,117814100.0,160.1,0.010944223252673302,156.93785714285715,159.2032142857143
2014-02-12,2014,2,12,Wednesday,06,2014-06,182.25,182.83,181.71,182.07,94717700.0,160.18,0.0004944619876152689,156.89285714285714,159.23689655172416
2014-02-13,2014,2,13,Thursday,06,2014-06,180.84,183.2,180.83,183.01,100542200.0,161.0,0.005162611694324415,157.15142857142857,159.2956666666667
2014-02-14,2014,2,14,Friday,06,2014-06,182.84,184.36,182.67,184.02,96498400.0,161.89,0.005519260881341692,157.5285714285714,159.3793548387097
2014-02-18,2014,2,18,Tuesday,07,2014-07,184.18,184.49,183.65,184.24,80460900.0,162.09,0.0011954007561476576,157.85357142857143,159.46406250000004
2014-02-19,2014,2,19,Wednesday,07,2014-07,183.76,184.95,182.87,183.02,126524300.0,161.01,-0.006621596356568671,158.2092857142857,159.51090909090914
2014-02-20,2014,2,20,Thursday,07,2014-07,183.27,184.52,182.6,184.1,104998100.0,161.96,0.005900583917478164,158.51500000000001,159.58294117647063
2014-02-21,2014,2,21,Friday,07,2014-07,184.45,184.89,183.8,183.89,118116400.0,161.78,-0.001140615991046201,158.87357142857147,159.64571428571432
2014-02-24,2014,2,24,Monday,08,2014-08,184.28,186.15,184.2,184.91,114063900.0,162.68,0.005546986686798094,159.54857142857145,159.73000000000005
2014-02-25,2014,2,25,Tuesday,08,2014-08,185.06,185.59,184.23,184.84,117085000.0,162.61,-0.0003786648037020779,160.1421428571429,159.80783783783787
2014-02-26,2014,2,26,Wednesday,08,2014-08,185.11,185.6,184.33,184.85,98677200.0,162.62,5.4048439224629874e-05,160.75,159.8818421052632
2014-02-27,2014,2,27,Thursday,08,2014-08,184.58,185.87,184.37,185.82,93880800.0,163.48,0.005247482027754158,161.27428571428572,159.9741025641026
2014-02-28,2014,2,28,Friday,08,2014-08,185.79,187.15,185.05,186.29,150842000.0,163.89,0.002529213078431347,161.69,160.07200000000003
2014-03-03,2014,3,3,Monday,09,2014-09,184.65,185.45,183.75,184.98,167748500.0,162.74,-0.007032219297316233,162.00214285714284,160.13707317073172
2014-03-04,2014,3,4,Tuesday,09,2014-09,186.79,187.98,186.75,187.58,167545900.0,165.03,0.014055934384574087,162.3542857142857,160.25357142857143
2014-03-05,2014,3,5,Wednesday,09,2014-09,187.74,188.07,187.45,187.75,88376900.0,165.17,0.0009061418293190293,162.71071428571432,160.3679069767442
2014-03-06,2014,3,6,Thursday,09,2014-09,188.21,188.61,187.78,188.18,82516500.0,165.55,0.0022902785840477335,163.0357142857143,160.48568181818183
2014-03-07,2014,3,7,Friday,09,2014-09,188.96,188.96,187.43,188.26,114513500.0,165.62,0.00042517398676245044,163.30214285714288,160.5997777777778
2014-03-10,2014,3,10,Monday,10,2014-10,187.97,188.23,187.08,188.16,74939200.0,165.54,-0.0005312185809682735,163.54857142857145,160.7071739130435
2014-03-11,2014,3,11,Tuesday,10,2014-10,188.44,188.71,186.8,187.23,99009100.0,164.72,-0.004942700494804719,163.81357142857146,160.7925531914894
2014-03-12,2014,3,12,Wednesday,10,2014-10,186.32,187.35,185.9,187.28,104824400.0,164.76,0.00026697787529705863,164.01357142857145,160.87520833333335
2014-03-13,2014,3,13,Thursday,10,2014-10,187.84,187.99,184.66,185.18,155014300.0,162.91,-0.011213041490735542,164.09428571428572,160.91673469387757
2014-03-14,2014,3,14,Friday,10,2014-10,184.85,185.8,184.44,184.66,153919600.0,162.46,-0.002807981636287149,164.07857142857145,160.94760000000002
2014-03-17,2014,3,17,Monday,11,2014-11,185.59,186.77,185.51,186.33,98359500.0,163.93,0.009043717468878665,164.17285714285714,161.00760000000002
2014-03-18,2014,3,18,Tuesday,11,2014-11,186.71,187.91,186.51,187.66,101804600.0,165.1,0.007137847907486616,164.35,161.09160000000003
2014-03-19,2014,3,19,Wednesday,11,2014-11,187.68,187.94,185.47,186.66,176267300.0,164.22,-0.005329077637671098,164.40285714285713,161.16740000000001
2014-03-20,2014,3,20,Thursday,11,2014-11,186.25,187.89,185.92,187.75,117241000.0,165.17,0.005839693730842921,164.49428571428572,161.2424
2014-03-21,2014,3,21,Friday,11,2014-11,187.71,189.02,186.03,186.2,163128000.0,164.53,-0.00387828636316101,164.62214285714285,161.30400000000003
2014-03-24,2014,3,24,Monday,12,2014-12,186.84,187.07,184.62,185.43,121411000.0,163.85,-0.004135714114808842,164.53785714285712,161.34980000000002
2014-03-25,2014,3,25,Tuesday,12,2014-12,186.37,186.94,185.27,186.31,103852000.0,164.63,0.004745906407779277,164.4992857142857,161.40240000000003
2014-03-26,2014,3,26,Wednesday,12,2014-12,187.04,187.34,184.92,184.97,119843000.0,163.45,-0.007192423583801344,164.34928571428568,161.47460000000004
2014-03-27,2014,3,27,Thursday,12,2014-12,184.75,185.34,183.9,184.58,142383000.0,163.1,-0.002108168204226657,164.16928571428568,161.50480000000005
2014-03-28,2014,3,28,Friday,12,2014-12,185.11,186.42,185.0,185.49,101642000.0,163.91,0.004929981391301297,164.0528571428571,161.53380000000004
2014-03-31,2014,3,31,Monday,13,2014-13,186.67,187.3,185.52,187.01,99745000.0,165.25,0.008194635081100188,164.09071428571426,161.59380000000004
2014-04-01,2014,4,1,Tuesday,13,2014-13,187.62,188.36,187.0,188.25,89193000.0,166.35,0.006630218501545215,164.2042857142857,161.68960000000004
2014-04-02,2014,4,2,Wednesday,13,2014-13,188.49,189.13,188.14,188.88,78774000.0,166.9,0.0033468441780128977,164.4892857142857,161.78700000000006
2014-04-03,2014,4,3,Thursday,13,2014-13,189.17,189.22,188.05,188.63,77435000.0,166.68,-0.0013237217911449273,164.79071428571427,161.87780000000004
2014-04-04,2014,4,4,Friday,13,2014-13,189.66,189.7,186.1,186.4,169381000.0,164.71,-0.011821905192600957,164.84642857142856,161.95580000000004
2014-04-07,2014,4,7,Monday,14,2014-14,185.95,186.26,183.96,184.34,140803000.0,162.89,-0.011051479820893717,164.6885714285714,162.06600000000003
